,Participant,Group,window,report,MW,MSD
78,15496,A,10,probe,u,1.300933861890496
79,15496,A,10,probe,a,1.1029213018408184
80,15496,A,10,probe,a,1.2577837975179222
81,15496,A,10,probe,a,0.6698827860744799
82,15496,A,10,probe,a,1.2144238936257123
83,15496,A,10,probe,f,1.4374618249978355
84,15496,A,15,probe,u,1.1783329517251757
85,15496,A,15,probe,a,0.9836733305728494
86,15496,A,15,probe,a,1.1196134053685873
87,15496,A,15,probe,a,0.5528068735355884
88,15496,A,15,probe,a,1.0803499731581583
89,15496,A,15,probe,f,1.334552961064608
90,15496,A,20,probe,u,1.049160929070361
91,15496,A,20,probe,a,0.8615646860703684
92,15496,A,20,probe,a,0.9847195013041513
93,15496,A,20,probe,a,0.7901515074240982
94,15496,A,20,probe,a,0.9448784133758428
95,15496,A,20,probe,f,1.2093060754656277
96,15496,A,25,probe,u,0.9195035926977525
97,15496,A,25,probe,a,0.8517899492853754
98,15496,A,25,probe,a,0.8757764386367716
99,15496,A,25,probe,a,0.9039946984908895
100,15496,A,25,probe,a,0.8359389871413311
101,15496,A,25,probe,f,1.1034783749581483
102,15496,A,30,probe,u,0.941793110934178
103,15496,A,30,probe,a,0.9598867592913274
104,15496,A,30,probe,a,0.9421740614286019
105,15496,A,30,probe,a,0.9318495319349431
106,15496,A,30,probe,a,0.9433808791114272
107,15496,A,30,probe,f,1.0089414041309073
108,17431,A,5,probe,a,1.4725563811817843
109,17431,A,5,probe,f,0.9118894937067663
110,17431,A,5,probe,f,1.2279813597322227
111,17431,A,5,probe,a,0.27602365468490414
112,17431,A,5,probe,a,1.3181874940443101
113,17431,A,5,probe,u,0.6019482227103767
114,17431,A,10,probe,a,1.3280895929111614
115,17431,A,10,probe,f,0.7527542688856856
116,17431,A,10,probe,f,1.0934181164940253
117,17431,A,10,probe,a,0.9342357557661422
118,17431,A,10,probe,a,1.3547478576462497
119,17431,A,10,probe,u,0.4786784799158328
120,17431,A,15,probe,a,1.182756111344346
121,17431,A,15,probe,f,0.6337027720395539
122,17431,A,15,probe,f,0.9581332322763405
123,17431,A,15,probe,a,1.0783631380347765
124,17431,A,15,probe,a,1.2825805434055997
125,17431,A,15,probe,u,0.7474562877008503
126,17431,A,20,probe,a,1.0517846257606072
127,17431,A,20,probe,f,0.8043863434092162
128,17431,A,20,probe,f,0.8355841141851008
129,17431,A,20,probe,a,1.0856670196628073
130,17431,A,20,probe,a,1.1777045199446063
131,17431,A,20,probe,u,0.910276221900818
132,17431,A,25,probe,a,0.9298632908861028
133,17431,A,25,probe,f,0.923532594559716
134,17431,A,25,probe,f,0.8387264566218087
135,17431,A,25,probe,a,1.0329318444869302
136,17431,A,25,probe,a,1.0645013742985296
137,17431,A,25,probe,u,0.9507352634164079
138,17431,A,30,probe,a,0.9630827787281528
139,17431,A,30,probe,f,0.9600776503037911
140,17431,A,30,probe,f,0.9463251040575118
141,17431,A,30,probe,a,0.9745520408871605
142,17431,A,30,probe,a,0.9569480425216804
143,17431,A,30,probe,u,0.9332878177274712
144,17713,A,5,probe,a,0.6546217516873752
145,17713,A,5,probe,f,0.9986283127358995
146,17713,A,5,probe,f,1.384007877599977
147,17713,A,5,probe,a,0.80228504875358
148,17713,A,5,probe,u,0.8099732062720078
149,17713,A,5,probe,f,0.9711690135665498
150,17713,A,10,probe,a,0.6984619630161578
151,17713,A,10,probe,f,0.88255928703373
152,17713,A,10,probe,f,1.2489200317964866
153,17713,A,10,probe,a,0.677281238849849
154,17713,A,10,probe,u,0.677555141856403
155,17713,A,10,probe,f,0.8421917991552715
156,17713,A,15,probe,a,0.9752612345097285
157,17713,A,15,probe,f,0.7428089828942138
158,17713,A,15,probe,f,1.1239471583915555
159,17713,A,15,probe,a,0.5583200246918704
160,17713,A,15,probe,u,0.5389881989140403
161,17713,A,15,probe,f,0.7255685838680026
162,17713,A,20,probe,a,1.0590949069193427
163,17713,A,20,probe,f,0.7070001640616391
164,17713,A,20,probe,f,1.007554082887832
165,17713,A,20,probe,a,0.811324816295243
166,17713,A,20,probe,u,0.7935686974720974
167,17713,A,20,probe,f,0.7515516107955238
168,17713,A,25,probe,a,1.0525140864486016
169,17713,A,25,probe,f,0.8799381240110602
170,17713,A,25,probe,f,0.8739627395873347
171,17713,A,25,probe,a,0.9186081398800723
172,17713,A,25,probe,u,0.9031394401011785
173,17713,A,25,probe,f,0.9019155604199226
174,17713,A,30,probe,a,1.0126049957445973
175,17713,A,30,probe,f,0.9538264047811473
176,17713,A,30,probe,f,0.9479117173140285
177,17713,A,30,probe,a,0.9419424835316871
178,17713,A,30,probe,u,0.9390073177167119
179,17713,A,30,probe,f,0.9607629554954012
180,17996,B,5,probe,f,1.474869838439487
181,17996,B,5,probe,a,1.3952354035088002
182,17996,B,5,probe,a,0.487803827560285
183,17996,B,5,probe,a,1.3297867076739163
184,17996,B,5,probe,u,1.338049290264505
185,17996,B,5,probe,u,0.3683872401300031
186,17996,B,10,probe,f,1.3539283020546868
187,17996,B,10,probe,a,1.2849144815824791
188,17996,B,10,probe,a,1.0176162624614922
189,17996,B,10,probe,a,1.1978284025594155
190,17996,B,10,probe,u,1.2145020503060555
191,17996,B,10,probe,u,0.6451612142385869
192,17996,B,15,probe,f,1.2241935655716139
193,17996,B,15,probe,a,1.1384262856298275
194,17996,B,15,probe,a,1.1061799024990142
195,17996,B,15,probe,a,1.0700952452746892
196,17996,B,15,probe,u,1.0828396362604715
197,17996,B,15,probe,u,0.9092347483761791
198,17996,B,20,probe,f,1.0878697616372264
199,17996,B,20,probe,a,0.9981098299733516
200,17996,B,20,probe,a,1.0854088683566279
201,17996,B,20,probe,a,0.9398443049181054
202,17996,B,20,probe,u,0.9506938368331798
203,17996,B,20,probe,u,0.9817507289509979
204,17996,B,25,probe,f,0.9570609850502148
205,17996,B,25,probe,a,0.8725337203905307
206,17996,B,25,probe,a,1.01907566580572
207,17996,B,25,probe,a,0.8144800222728659
208,17996,B,25,probe,u,0.8134459586223076
209,17996,B,25,probe,u,0.9854143356723738
210,17996,B,30,probe,f,0.9305733228840668
211,17996,B,30,probe,a,0.9459389494620328
212,17996,B,30,probe,a,0.9333898545640222
213,17996,B,30,probe,a,0.934072537490709
214,17996,B,30,probe,u,0.9249551207435999
215,17996,B,30,probe,u,0.9314408466935293
216,18730,A,5,probe,u,1.4540746246065381
217,18730,A,5,probe,a,0.9790487367318679
218,18730,A,5,probe,f,0.9129357325935893
219,18730,A,5,probe,u,0.6940615240383425
220,18730,A,5,probe,u,1.2716090239346864
221,18730,A,5,probe,f,0.6362264611401067
222,18730,A,10,probe,u,1.3356057691678114
223,18730,A,10,probe,a,1.2152207569050142
224,18730,A,10,probe,f,0.7746551457373664
225,18730,A,10,probe,u,0.5500390625672316
