,Participant,Group,window,report,MW,MSD
259,15496,A,20,self,f,0.01578333454713814
260,15496,A,20,self,a,0.01822386629561597
261,15496,A,20,self,f,0.024595340461327178
262,15496,A,20,self,a,0.02232270642930805
263,15496,A,20,self,f,0.024365113961815996
264,15496,A,25,self,a,0.012457583804240625
265,15496,A,25,self,f,0.022107604738132905
266,15496,A,25,self,a,0.02455973978371172
267,15496,A,25,self,f,0.018626922675881466
268,15496,A,25,self,a,0.01668766823926138
269,15496,A,25,self,f,0.017730504093848607
270,15496,A,25,self,a,0.020407366366059332
271,15496,A,25,self,f,0.016273708264545484
272,15496,A,25,self,a,0.01868388183494457
273,15496,A,25,self,f,0.028412900055674102
274,15496,A,25,self,a,0.014600857781587246
275,15496,A,25,self,f,0.016720669187354428
276,15496,A,25,self,a,0.018438529534575736
277,15496,A,25,self,f,0.01838117052086498
278,15496,A,25,self,a,0.019058477119652906
279,15496,A,25,self,f,0.024217894266201478
280,15496,A,25,self,a,0.020660277971813266
281,15496,A,25,self,f,0.019492091169452795
282,15496,A,30,self,a,0.013323283371153181
283,15496,A,30,self,f,0.022126136925756965
284,15496,A,30,self,a,0.024353476342594337
285,15496,A,30,self,f,0.01993390649997045
286,15496,A,30,self,a,0.01836037960858309
287,15496,A,30,self,f,0.01631384423070456
288,15496,A,30,self,a,0.01915286083887176
289,15496,A,30,self,f,0.01856297070524166
290,15496,A,30,self,a,0.018571682297736068
291,15496,A,30,self,f,0.026010321043900657
292,15496,A,30,self,a,0.014607797605630473
293,15496,A,30,self,f,0.017320055888836425
294,15496,A,30,self,a,0.01739803452081385
295,15496,A,30,self,f,0.020037034210562993
296,15496,A,30,self,a,0.021753184562590653
297,15496,A,30,self,f,0.022526266819750864
298,15496,A,30,self,a,0.020987812602012667
299,15496,A,30,self,f,0.01624340930787733
300,17431,A,5,self,a,0.03416729530265497
301,17431,A,5,self,f,0.017777898674427247
302,17431,A,5,self,a,0.01681618852796389
303,17431,A,5,self,f,0.02665705158459545
304,17431,A,5,self,a,0.0290054892544598
305,17431,A,5,self,f,0.01748822427337892
306,17431,A,5,self,a,0.01907521577053862
307,17431,A,5,self,f,0.013573089589258854
308,17431,A,5,self,a,0.03971057066258601
309,17431,A,5,self,f,0.014357524632372701
310,17431,A,10,self,a,0.025702338368658838
311,17431,A,10,self,f,0.021070632797615788
312,17431,A,10,self,a,0.018083308853712163
313,17431,A,10,self,f,0.020976783541907514
314,17431,A,10,self,a,0.026844215561345024
315,17431,A,10,self,f,0.01732988643731157
316,17431,A,10,self,a,0.018373452609568422
317,17431,A,10,self,f,0.014906522452609018
318,17431,A,10,self,a,0.028766683683944312
319,17431,A,10,self,f,0.013456979802005681
320,17431,A,15,self,a,0.025446681058720885
321,17431,A,15,self,f,0.02242525253253855
322,17431,A,15,self,a,0.019499527208892104
323,17431,A,15,self,f,0.020399956035492415
324,17431,A,15,self,a,0.027257047847747323
325,17431,A,15,self,f,0.016151011033249705
326,17431,A,15,self,a,0.01696475806702818
327,17431,A,15,self,f,0.01748031909907729
328,17431,A,15,self,a,0.02342261883091321
329,17431,A,15,self,f,0.013191024795933417
330,17431,A,20,self,a,0.025019854121045522
331,17431,A,20,self,f,0.02065519798150492
332,17431,A,20,self,a,0.020789935750426886
333,17431,A,20,self,f,0.022083467669820164
334,17431,A,20,self,a,0.03744790565714479
335,17431,A,20,self,f,0.014965120326076192
336,17431,A,20,self,a,0.020319097551435947
337,17431,A,20,self,f,0.01754909070236939
338,17431,A,20,self,a,0.020917136177955657
339,17431,A,20,self,f,0.01428103237950773
340,17431,A,25,self,a,0.024148011810136972
341,17431,A,25,self,f,0.018310340093516318
342,17431,A,25,self,a,0.021489755590352985
343,17431,A,25,self,f,0.02203816743852177
344,17431,A,25,self,a,0.033468221796971745
345,17431,A,25,self,f,0.014916211712946674
346,17431,A,25,self,a,0.02161152043749657
347,17431,A,25,self,f,0.01692046845744367
348,17431,A,25,self,a,0.021977582247820118
349,17431,A,25,self,f,0.019048804232061758
350,17431,A,30,self,a,0.02236653387284509
351,17431,A,30,self,f,0.018936146412321202
352,17431,A,30,self,a,0.022842809403316455
353,17431,A,30,self,f,0.022682878584515943
354,17431,A,30,self,a,0.030440791366902774
355,17431,A,30,self,f,0.01585269165696745
356,17431,A,30,self,a,0.022015202799247215
357,17431,A,30,self,f,0.018482808857640795
358,17431,A,30,self,a,0.022801285851338754
359,17431,A,30,self,f,0.01883331923845351
360,17713,A,5,self,a,0.014244923997570226
361,17713,A,5,self,f,0.013483355007149844
362,17713,A,10,self,a,0.013909371654825782
363,17713,A,10,self,f,0.014999996528429893
364,17713,A,15,self,a,0.01559544854268392
365,17713,A,15,self,f,0.015764618192555795
366,17713,A,20,self,a,0.01667734185709128
367,17713,A,20,self,f,0.016183599960758268
368,17713,A,25,self,a,0.01591588913215457
369,17713,A,25,self,f,0.015541352449667867
370,17713,A,30,self,a,0.015620446785327284
371,17713,A,30,self,f,0.015111384009343738
372,17996,B,5,self,a,0.01472632691916849
373,17996,B,5,self,f,0.018113239574735925
374,17996,B,5,self,a,0.019983492485297443
375,17996,B,5,self,f,0.022436172966945264
376,17996,B,5,self,a,0.015353680302302731
377,17996,B,5,self,f,0.01664148003390743
378,17996,B,5,self,a,0.011279388433797022
379,17996,B,5,self,f,0.020592693847809478
380,17996,B,10,self,a,0.01621535637791549
381,17996,B,10,self,f,0.017167098635863687
382,17996,B,10,self,a,0.017728667993505542
383,17996,B,10,self,f,0.02509665990117748
384,17996,B,10,self,a,0.018296905443829933
385,17996,B,10,self,f,0.01681820293017849
386,17996,B,10,self,a,0.013714632451621456
387,17996,B,10,self,f,0.01733535615481001
388,17996,B,15,self,a,0.01662808955420313
389,17996,B,15,self,f,0.014644145455846197
390,17996,B,15,self,a,0.01848403421475103
391,17996,B,15,self,f,0.023304865359573657
392,17996,B,15,self,a,0.018095013385737095
393,17996,B,15,self,f,0.01677414309001392
394,17996,B,15,self,a,0.016337794493482074
395,17996,B,15,self,f,0.016379345693029016
396,17996,B,20,self,a,0.015320986338423706
397,17996,B,20,self,f,0.014860225827522415
398,17996,B,20,self,a,0.01907715783554053
399,17996,B,20,self,f,0.0226783105443745
400,17996,B,20,self,a,0.019048798054729952
401,17996,B,20,self,f,0.015495431090862584
402,17996,B,20,self,a,0.017052202379126045
403,17996,B,20,self,f,0.015448712085722042
404,17996,B,25,self,a,0.015064766570671935
405,17996,B,25,self,f,0.014751974461483443
406,17996,B,25,self,a,0.018772866689659815
407,17996,B,25,self,f,0.022903102630489933
408,17996,B,25,self,a,0.024855828828867985
409,17996,B,25,self,f,0.01571913951528125
410,17996,B,25,self,a,0.018596027111570074
411,17996,B,25,self,f,0.01454145560454645
412,17996,B,30,self,a,0.015174636090502614
413,17996,B,30,self,f,0.015190528047830764
414,17996,B,30,self,a,0.018793536895857343
415,17996,B,30,self,f,0.022875109891402727
416,17996,B,30,self,a,0.023476455592362385
417,17996,B,30,self,f,0.015176633312371698
418,17996,B,30,self,a,0.01928805923506103
419,17996,B,30,self,f,0.014251250596185249
420,18730,A,5,self,a,0.09324772786065966
421,18730,A,5,self,f,0.108200623656187
422,18730,A,5,self,a,0.102388244442123
423,18730,A,5,self,f,0.09173589114923264
424,18730,A,5,self,a,0.3755084088062356
425,18730,A,5,self,f,0.1431532890296168
426,18730,A,5,self,a,0.2619553359065975
427,18730,A,5,self,f,0.07874479821783348
428,18730,A,5,self,a,0.1434859844922936
429,18730,A,5,self,f,0.2554826328219029
430,18730,A,5,self,a,0.06676536290711625
431,18730,A,5,self,f,0.20984517625860918
432,18730,A,5,self,a,0.162163726760155
433,18730,A,5,self,f,0.2800014714135861
434,18730,A,5,self,a,0.6436612683315953
435,18730,A,5,self,f,0.14336067858872945
436,18730,A,5,self,a,0.26892051280153034
437,18730,A,5,self,f,0.21433200184445303
438,18730,A,5,self,a,0.2748348205097795
439,18730,A,5,self,f,0.34290932596523654
440,18730,A,5,self,a,0.3205140644531146
441,18730,A,5,self,f,0.2699423635432456
442,18730,A,5,self,a,0.15420682611566877
443,18730,A,5,self,f,0.2315663251781771
444,18730,A,10,self,a,0.06457949691078169
445,18730,A,10,self,f,0.1559162391682113
446,18730,A,10,self,a,0.16696640090143977
447,18730,A,10,self,f,0.13566845359542354
448,18730,A,10,self,a,0.2757602610290946
449,18730,A,10,self,f,0.10942662334964799
450,18730,A,10,self,a,0.3123605637297944
451,18730,A,10,self,f,0.09728102072102347
452,18730,A,10,self,a,0.11369629462480609
453,18730,A,10,self,f,0.27253531864417835
454,18730,A,10,self,a,0.2364314416563497
455,18730,A,10,self,f,0.3239579886229282
456,18730,A,10,self,a,0.27506092031273915
457,18730,A,10,self,f,0.31130953403725836
458,18730,A,10,self,a,0.7634781926706009
459,18730,A,10,self,f,0.12491485218166168
460,18730,A,10,self,a,0.21363524420705063
461,18730,A,10,self,f,0.1663323162942632
462,18730,A,10,self,a,0.18629257919407607
463,18730,A,10,self,f,0.23359846100757156
464,18730,A,10,self,a,0.23307224347529198
465,18730,A,10,self,f,0.26716910185090187
466,18730,A,10,self,a,0.13256999350949936
467,18730,A,10,self,f,0.22413565399379362
468,18730,A,15,self,a,0.1501175505065715
469,18730,A,15,self,f,0.18081207952031472
470,18730,A,15,self,a,0.16651952755738925
471,18730,A,15,self,f,0.1964692046983294
472,18730,A,15,self,a,0.22749849551978196
473,18730,A,15,self,f,0.10938987713184305
474,18730,A,15,self,a,0.29997767850793516
475,18730,A,15,self,f,0.0949987028453595
476,18730,A,15,self,a,0.11228926766372395
477,18730,A,15,self,f,0.25499088783150503
478,18730,A,15,self,a,0.23599466686157133
479,18730,A,15,self,f,0.2915982352717374
480,18730,A,15,self,a,0.28213501779677685
481,18730,A,15,self,f,0.29135566847318256
482,18730,A,15,self,a,0.7155149481583627
483,18730,A,15,self,f,0.1302238732378284
484,18730,A,15,self,a,0.1722978498633007
485,18730,A,15,self,f,0.12783189645268556
486,18730,A,15,self,a,0.17853774073732034
487,18730,A,15,self,f,0.1918835076224171
488,18730,A,15,self,a,0.17295713866690557
489,18730,A,15,self,f,0.2171358688594949
490,18730,A,15,self,a,0.14410904630998048
491,18730,A,15,self,f,0.2453246440907637
492,18730,A,20,self,a,0.14380687143392704
493,18730,A,20,self,f,0.15433000245494763
494,18730,A,20,self,a,0.16290476783772492
495,18730,A,20,self,f,0.21640973553493503
496,18730,A,20,self,a,0.18477888643811227
497,18730,A,20,self,f,0.10175645568912539
498,18730,A,20,self,a,0.2523979158125144
499,18730,A,20,self,f,0.12588210646948422
500,18730,A,20,self,a,0.15769858632308262
501,18730,A,20,self,f,0.20656790842732517
502,18730,A,20,self,a,0.21272753611231848
503,18730,A,20,self,f,0.2681630621222007
504,18730,A,20,self,a,0.2554996710693567
505,18730,A,20,self,f,0.3166819041390731
506,18730,A,20,self,a,0.6278798769325864
507,18730,A,20,self,f,0.1579602521863654
508,18730,A,20,self,a,0.1540641668891631
509,18730,A,20,self,f,0.1139379866131621
510,18730,A,20,self,a,0.18385359455971775
511,18730,A,20,self,f,0.17395404001284892
512,18730,A,20,self,a,0.19585290779172174
513,18730,A,20,self,f,0.17970655651328624
514,18730,A,20,self,a,0.19640456206101567
515,18730,A,20,self,f,0.2103426247821945
516,18730,A,25,self,a,0.17053894836852249
517,18730,A,25,self,f,0.13718894931008713
518,18730,A,25,self,a,0.15865748359637807
519,18730,A,25,self,f,0.2112493031875109
520,18730,A,25,self,a,0.18305001026414808
521,18730,A,25,self,f,0.11074636846016654
522,18730,A,25,self,a,0.22120442629199485
523,18730,A,25,self,f,0.15840568918228537
524,18730,A,25,self,a,0.16811695906721025
525,18730,A,25,self,f,0.1822703158646596
526,18730,A,25,self,a,0.1907563643634489
527,18730,A,25,self,f,0.26405953623133505
528,18730,A,25,self,a,0.2233546426179842
529,18730,A,25,self,f,0.38184913528963516
530,18730,A,25,self,a,0.5506703719778364
