,Participant,Group,window,report,MW,MSD
163,11003,B,10,self,f,0.01853768148838694
164,11003,B,10,self,a,0.021048312155912293
165,11003,B,10,self,f,0.024999874232532287
166,11003,B,10,self,a,0.0263534452025423
167,11003,B,10,self,f,0.032102830795536545
168,11003,B,10,self,a,0.02390143876896934
169,11003,B,10,self,f,0.018064408848298488
170,11003,B,10,self,a,0.03212948785779141
171,11003,B,10,self,f,0.013884211582642567
172,11003,B,10,self,a,0.029663982054884137
173,11003,B,10,self,f,0.019417837977859634
174,11003,B,10,self,a,0.013723109100359347
175,11003,B,10,self,f,0.04718212544213976
176,11003,B,10,self,a,0.018469304149981918
177,11003,B,10,self,f,0.061940176055645904
178,11003,B,10,self,a,0.027077947097439475
179,11003,B,10,self,f,0.06327956301444132
180,11003,B,10,self,a,0.061944873508041336
181,11003,B,10,self,f,0.038432419063281556
182,11003,B,10,self,a,0.017267510202655576
183,11003,B,10,self,f,0.02173965258299675
184,11003,B,10,self,a,0.01991984121727055
185,11003,B,10,self,f,0.13993928114879126
186,11003,B,10,self,a,0.07255737364915286
187,11003,B,10,self,f,0.19751449718723302
188,11003,B,10,self,a,0.23339478224930152
189,11003,B,10,self,f,0.017017223865331856
190,11003,B,10,self,a,0.01685939625131679
191,11003,B,10,self,f,0.030973312138071057
192,11003,B,10,self,a,0.027969611131036392
193,11003,B,10,self,f,0.055328157264562965
194,11003,B,10,self,a,0.029241773551336638
195,11003,B,10,self,f,0.1350246413881072
196,11003,B,10,self,a,0.12118340875716319
197,11003,B,10,self,f,0.05686774545324395
198,11003,B,10,self,a,0.07969959034532206
199,11003,B,10,self,f,0.016133244089386777
200,11003,B,10,self,a,0.0634165328487269
201,11003,B,10,self,f,0.021011069516561183
202,11003,B,10,self,a,0.027269265162614242
203,11003,B,10,self,f,0.03024551316516325
204,11003,B,10,self,a,0.03143323604073779
205,11003,B,10,self,f,0.02383162167962295
206,11003,B,10,self,a,0.021586939307236857
207,11003,B,10,self,f,0.0174901723646838
208,11003,B,10,self,a,0.025068574147121853
209,11003,B,10,self,f,0.022032388948762336
210,11003,B,10,self,a,0.019973490400632173
211,11003,B,10,self,f,0.02273347140697987
212,11003,B,10,self,a,0.02188897481747064
213,11003,B,10,self,f,0.04783144710242503
214,11003,B,10,self,a,0.02085243438980474
215,11003,B,10,self,f,0.10958878464320997
216,11003,B,10,self,a,0.08026303439440728
